signal_date,close,rsi2,down3,trade_next_day,logged_at,sig
7/22/2026,7545.5,66.21,False,False,2026-07-22T16:50:24,
2026-07-23,7448.25,13.53,False,True,2026-07-23T23:42:35,1.0
2026-07-24,7444.0,12.96,True,True,2026-07-24T23:27:19,1.0
2026-07-27,7448.75,19.74,False,False,2026-07-28T00:04:44,0.0
2026-07-28,7488.75,76.64,False,False,2026-07-28T23:59:42,0.0
2026-07-29,7376.75,9.52,False,True,2026-07-29T23:52:21,1.0
2026-07-30,7489.25,70.33,False,False,2026-07-31T00:04:30,0.0
2026-07-31,7503.5,75.73,False,False,2026-08-01T00:03:47,0.0
2026-08-02,7544.75,84.21,False,False,2026-08-02T23:20:02,0.0
2026-08-03,7634.75,91.87,False,False,2026-08-04T00:11:26,0.0
2026-08-04,7647.5,92.39,False,False,2026-08-04T06:31:26,0.0
2026-08-05,7761.5,93.38,False,False,2026-08-06T00:01:42,0.0
2026-08-06,7735.0,69.21,False,False,2026-08-07T01:02:20,0.0
2026-08-07,7777.25,85.02,False,False,2026-08-07T23:35:55,0.0
2026-08-10,7770.0,69.47,False,False,2026-08-10T23:37:16,0.0
2026-08-11,7753.0,38.98,False,False,2026-08-11T23:42:51,0.0
2026-08-12,7770.0,65.1,False,False,2026-08-12T23:43:56,0.0
2026-08-13,7826.0,89.43,False,False,2026-08-13T23:43:16,0.0
2026-08-14,7802.5,58.4,False,False,2026-08-14T23:24:10,0.0
2026-08-16,7812.5,69.28,False,False,2026-08-17T01:41:58,0.0
2026-08-17,7764.25,24.78,False,False,2026-08-17T23:15:57,0.0
2026-08-18,7710.0,9.36,True,True,2026-08-18T23:24:07,1.0
2026-08-19,7742.0,45.17,False,False,2026-08-19T23:24:35,0.0
