trade_day,side,contracts,entry,exit,reason,pnl,exit_time
2026-01-27,-1,1,6995.0,7012.0,time_exit,-86.34,2026-01-27 15:55:00-05:00
2026-01-28,-1,1,7031.5,7011.5,time_exit,98.66,2026-01-28 15:55:00-05:00
2026-04-02,-1,1,6540.75,6612.75,time_exit,-361.34,2026-04-02 15:55:00-04:00
2026-04-09,-1,1,6801.75,6852.5,time_exit,-255.09,2026-04-09 15:55:00-04:00
2026-04-10,-1,1,6862.5,6859.25,time_exit,14.91,2026-04-10 15:55:00-04:00
2026-04-14,-1,1,6933.25,6993.75,time_exit,-303.84,2026-04-14 15:55:00-04:00
2026-04-15,-1,1,7000.0,7033.25,time_exit,-167.59,2026-04-15 15:55:00-04:00
