trade_day,side,contracts,entry,exit,reason,pnl,exit_time
2026-01-22,1,1,6953.5,6945.0,time_exit,-43.84,2026-01-22 15:55:00-05:00
2026-02-06,1,1,6843.25,6895.75,time_exit,261.16,2026-02-06 15:55:00-05:00
2026-02-13,1,1,6846.75,6865.0,time_exit,89.91,2026-02-13 15:55:00-05:00
2026-02-17,1,1,6841.25,6816.5,time_exit,-125.09,2026-02-17 15:55:00-05:00
2026-03-04,1,1,6825.25,6875.0,time_exit,247.41,2026-03-04 15:55:00-05:00
2026-03-10,1,1,6820.5,6827.5,time_exit,33.66,2026-03-10 15:55:00-04:00
2026-03-20,1,1,6632.25,6605.0,time_exit,-137.59,2026-03-20 15:55:00-04:00
2026-03-31,1,1,6438.5,6471.5,time_exit,163.66,2026-03-31 15:55:00-04:00
